0 <- 3290 : 2 | 3290 58 0 
1 <- 3290 : 3 | 3290 58 0 1 
2 <- 3290 : 3 | 3290 58 0 2 
3 <- 3290 : 3 | 3290 58 0 3 
4 <- 3290 : 3 | 3290 58 0 4 
5 <- 3290 : 3 | 3290 58 0 5 
6 <- 3290 : 3 | 3290 58 0 6 
7 <- 3290 : 3 | 3290 58 0 7 
8 <- 3290 : 3 | 3290 58 0 8 
9 <- 3290 : 3 | 3290 58 0 9 
10 <- 3290 : 3 | 3290 58 0 10 
11 <- 3290 : 3 | 3290 58 0 11 
12 <- 3290 : 3 | 3290 58 0 12 
13 <- 3290 : 3 | 3290 58 0 13 
14 <- 3290 : 3 | 3290 58 0 14 
15 <- 3290 : 3 | 3290 58 0 15 
16 <- 3290 : 3 | 3290 58 0 16 
17 <- 3290 : 3 | 3290 58 0 17 
18 <- 3290 : 3 | 3290 58 0 18 
19 <- 3290 : 3 | 3290 58 0 19 
20 <- 3290 : 3 | 3290 58 0 20 
21 <- 3290 : 3 | 3290 58 0 21 
22 <- 3290 : 3 | 3290 58 0 22 
23 <- 3290 : 3 | 3290 58 0 23 
24 <- 3290 : 3 | 3290 58 0 24 
25 <- 3290 : 3 | 3290 58 0 25 
26 <- 3290 : 3 | 3290 58 0 26 
27 <- 3290 : 3 | 3290 58 0 27 
28 <- 3290 : 3 | 3290 58 0 28 
29 <- 3290 : 3 | 3290 58 0 29 
30 <- 3290 : 3 | 3290 58 0 30 
31 <- 3290 : 3 | 3290 58 0 31 
32 <- 3290 : 3 | 3290 58 0 32 
33 <- 3290 : 3 | 3290 58 0 33 
34 <- 3290 : 3 | 3290 58 0 34 
35 <- 3290 : 3 | 3290 58 0 35 
36 <- 3290 : 3 | 3290 58 0 36 
37 <- 3290 : 3 | 3290 58 0 37 
38 <- 3290 : 3 | 3290 58 0 38 
39 <- 3290 : 3 | 3290 58 0 39 
40 <- 3290 : 3 | 3290 58 0 40 
41 <- 3290 : 3 | 3290 58 0 41 
42 <- 3290 : 3 | 3290 58 0 42 
43 <- 3290 : 3 | 3290 58 0 43 
44 <- 3290 : 3 | 3290 58 0 44 
45 <- 3290 : 3 | 3290 58 0 45 
46 <- 3290 : 3 | 3290 58 0 46 
47 <- 3290 : 3 | 3290 58 0 47 
